ARO Accession	Name	Model ID	Model Type	Pathogen	NCBI Plasmid	NCBI WGS	NCBI Chromosome	NCBI Genomic Island	Criteria	ARO Categories
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium longum	0	2.76	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus agalactiae	0	0.13	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus agalactiae	0	0.13	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus equi	0	0.23	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecium	0.06	15.34	34.08	3.92	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Staphylococcus aureus	0	0.06	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecalis	0	2.09	3.18	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecium	0	0.61	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pyogenes	0	0.21	0.37	9.09	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pyogenes	0	0.21	0.37	9.09	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Staphylococcus aureus	0	0.06	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3001989	CTX-M-130	7	protein homolog model	Shigella flexneri	0.4	0	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Escherichia coli	0.01	0.01	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Shigella flexneri	0.4	0	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Salmonella enterica	0	0.02	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Escherichia coli	0.01	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Salmonella enterica	0	0.02	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella aerogenes	0	0.28	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella pneumoniae	0.01	0.01	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Escherichia coli	0.01	0.02	0	0.13	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Enterobacter hormaechei	0	0.04	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Enterobacter hormaechei	0	0.04	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella pneumoniae	0.01	0.01	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Escherichia coli	0.01	0.02	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella aerogenes	0	0.28	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Pseudomonas aeruginosa	0	0	0	2.78	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3001855	ACT-35	9	protein homolog model	Enterobacter hormaechei	0	0.09	0.72	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3001855	ACT-35	9	protein homolog model	Enterobacter hormaechei	0	0.09	0.36	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3003196	tet(45)	17	protein homolog model	Klebsiella pneumoniae	0	0.01	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Enterococcus faecalis	15.02	14.28	5.45	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus cereus	1.82	18.54	1.08	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Pseudomonas aeruginosa	0	0.01	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Listeria monocytogenes	0	0.02	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus pyogenes	0	0.82	1.49	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Campylobacter jejuni	3.96	0.32	3.16	61.54	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Enterococcus faecium	4.4	21.14	22.93	31.37	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus anthracis	0	0.88	0.82	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus haemolyticus	1.89	4.4	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus subtilis	0.63	45.95	62.72	5.48	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Campylobacter coli	0	0.97	13.04	20	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus agalactiae	0	0.77	1.87	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus epidermidis	0.86	4.1	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus uberis	0	2.68	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Morganella morganii	2.5	0	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Enterococcus hirae	23.81	10.65	7.69	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus suis	0	4.51	1.6	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus hominis	2.08	2.44	6.25	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus simulans	0	1.69	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus lutetiensis	0	10.2	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus thuringiensis	0.26	19.55	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus warneri	2.5	0.82	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus anginosus	0	5.85	17.65	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus saprophyticus	0	2.8	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus pseudintermedius	0	1.54	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus amyloliquefaciens	0	62.92	80	33.33	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Lactobacillus johnsonii	0	6.9	33.33	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Aliarcobacter butzleri	0	0.81	12.5	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus arlettae	0	2.5	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Lactococcus garvieae	8.33	4.44	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Actinobacillus pleuropneumoniae	0	2.38	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Anaerostipes hadrus	0	1.72	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus tequilensis	0	100	100	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Bacillus velezensis	0	71.43	80.6	47.83	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Brevibacillus laterosporus	0	5.88	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Gardnerella vaginalis	0	0	20	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Megasphaera stantonii	0	25	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Rhizobium leguminosarum	0	0.2	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus pasteuri	5.88	0	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus pasteurianus	0	65	100	16.67	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Providencia alcalifaciens	0	3.45	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus capitis	0	1.27	0	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus gallolyticus	50	13.64	30	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus aureus	3.46	3.15	2.27	1.72	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3001711	OXA-212	18	protein homolog model	Acinetobacter johnsonii	0	0	5.26	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001557	OXA-371	23	protein homolog model	Acinetobacter baumannii	0	0.1	0.35	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001557	OXA-371	23	protein homolog model	Acinetobacter baumannii	0	0.12	0.35	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3003552	fusB	24	protein homolog model	Staphylococcus aureus	0.07	0.43	0.35	0.29	perfect_strict	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus haemolyticus	1.89	11.65	20.69	6.67	perfect	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus haemolyticus	1.89	11.65	24.14	6.67	perfect_strict	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus epidermidis	0.29	13.72	35.48	0	perfect	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus epidermidis	0.29	13.72	35.48	2.86	perfect_strict	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus hominis	0	4.88	0	0	perfect	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus hominis	0	4.88	0	0	perfect_strict	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus warneri	0	2.46	0	0	perfect	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus warneri	0	2.46	0	0	perfect_strict	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus saprophyticus	0	0.7	0	0	perfect	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus saprophyticus	0	0.7	0	0	perfect_strict	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus lugdunensis	0	0	5.56	0	perfect	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus lugdunensis	0	0	5.56	0	perfect_strict	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus pasteuri	0	3.85	25	0	perfect	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus pasteuri	0	3.85	25	0	perfect_strict	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus capitis	0	8.23	0	0	perfect	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus capitis	0	8.23	0	0	perfect_strict	antibiotic target protection; fusidane antibiotic
ARO:3003552	fusB	24	protein homolog model	Staphylococcus aureus	0.07	0.43	0.35	0.29	perfect	antibiotic target protection; fusidane antibiotic
ARO:3001980	CTX-M-121	25	protein homolog model	Enterobacter hormaechei	0	0.04	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001980	CTX-M-121	25	protein homolog model	Enterobacter hormaechei	0	0.04	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3002372	VEB-3	26	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Klebsiella pneumoniae	0.02	0.02	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Klebsiella pneumoniae	0.02	0.02	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Pseudomonas aeruginosa	0	0	0.31	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Pseudomonas aeruginosa	0	0	0.31	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Aeromonas hydrophila	0	0.81	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Aeromonas hydrophila	0	0.81	3.08	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Enterobacter cloacae	0	0.32	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Enterobacter cloacae	0	0.32	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Citrobacter freundii	0.62	0.19	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Citrobacter freundii	0.62	0.19	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Aeromonas caviae	0	0.54	2.27	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Aeromonas caviae	0	0.54	2.27	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Enterobacter hormaechei	0.06	0	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Enterobacter hormaechei	0.06	0	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Aeromonas veronii	1.54	0	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Aeromonas veronii	1.54	0	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Klebsiella michiganensis	1.14	0	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Klebsiella michiganensis	1.14	0	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002835	lnuA	27	protein homolog model	Acinetobacter baumannii	0	0.01	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus aureus	0.74	1.12	0.09	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Escherichia coli	0	0.06	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Streptococcus pneumoniae	0	0.03	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Enterococcus faecalis	0	0.16	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Listeria monocytogenes	0	0.05	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Enterococcus faecium	0	0.14	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus haemolyticus	0	5.27	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus epidermidis	0.86	3.51	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Helicobacter pylori	0	0.05	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Enterococcus hirae	0	0.46	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Streptococcus suis	0	0.1	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus hominis	0	8.78	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus simulans	23.53	3.39	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus equorum	10.81	16.07	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus warneri	7.5	6.56	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus saprophyticus	0	12.59	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Listeria innocua	5.26	0.75	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Clostridium botulinum	0	0.27	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus pseudintermedius	0	1.03	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Lactobacillus johnsonii	0	17.24	33.33	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus arlettae	8.33	10	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Macrococcus canis	6.25	12.5	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Lactococcus garvieae	4.17	2.22	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Lactobacillus crispatus	0	3.72	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus pasteuri	0	7.69	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3002835	lnuA	27	protein homolog model	Staphylococcus capitis	0	3.16	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Salmonella enterica	0	0.13	0.06	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Escherichia coli	0	0.09	0.02	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Enterobacter hormaechei	0	0.13	0	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Citrobacter portucalensis	0	0	3.7	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	29	protein variant model	Klebsiella oxytoca	0	0.42	0	0	perfect_strict	antibiotic target alteration; sulfonamide antibiotic; sulfone antibiotic
ARO:3002146	DHA-15	32	protein homolog model	Salmonella enterica	0	0.01	0	0	perfect	antibiotic inactivation; cephalosporin; cephamycin
ARO:3002146	DHA-15	32	protein homolog model	Salmonella enterica	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; cephamycin
ARO:3002146	DHA-15	32	protein homolog model	Klebsiella pneumoniae	0.01	0.01	0	0	perfect	antibiotic inactivation; cephalosporin; cephamycin
ARO:3002146	DHA-15	32	protein homolog model	Klebsiella pneumoniae	0.01	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; cephamycin
ARO:3002146	DHA-15	32	protein homolog model	Citrobacter freundii	0.31	0.19	0	0	perfect	antibiotic inactivation; cephalosporin; cephamycin
ARO:3002146	DHA-15	32	protein homolog model	Citrobacter freundii	0.31	0.19	0	0	perfect_strict	antibiotic inactivation; cephalosporin; cephamycin
ARO:3003109	msrE	33	protein homolog model	Acinetobacter baumannii	3.12	31.73	35.93	4.4	perfect	antibiotic target protection; macrolide antibiotic; streptogramin antibiotic
ARO:3003109	msrE	33	protein homolog model	Acinetobacter baumannii	3.12	31.73	35.93	5.66	perfect_strict	antibiotic target protection; macrolide antibiotic; streptogramin antibiotic
ARO:3003109	msrE	33	protein homolog model	Salmonella enterica	0.22	0.44	0.5	0.66	perfect	antibiotic target protection; macrolide antibiotic; streptogramin antibiotic
ARO:3003109	msrE	33	protein homolog model	Salmonella enterica	0.22	0.44	0.5	0.66	perfect_strict	antibiotic target protection; macrolide antibiotic; streptogramin antibiotic
ARO:3003109	msrE	33	protein homolog model	Escherichia coli	0.13	0.3	0.1	0	perfect	antibiotic target protection; macrolide antibiotic; streptogramin antibiotic
ARO:3003109	msrE	33	protein homolog model	Escherichia coli	0.13	0.3	0.1	0	perfect_strict	antibiotic target protection; macrolide antibiotic; streptogramin antibiotic
